order_id,customer_id,seller_id,order_date,status,payment_method,total_amount
1,617,36,2025-12-11 19:07:00,pending,pix,1369.91
2,404,3,2025-10-12 16:20:00,completed,pix,2574.94
3,508,15,2025-07-04 16:52:00,completed,debit_card,1207.14
4,916,38,2025-03-23 00:16:00,completed,pix,534.33
5,127,33,2025-01-12 20:47:00,completed,credit_card,2619.93
6,265,18,2025-07-23 19:21:00,completed,debit_card,1613.89
7,712,23,2025-04-05 19:54:00,completed,pix,287.19
8,764,43,2025-12-04 07:57:00,completed,boleto,2769.38
9,15,3,2025-05-07 09:44:00,completed,pix,2056.88
10,226,30,2025-04-05 19:35:00,returned,boleto,1723.01
11,984,45,2025-09-30 17:20:00,completed,pix,2363.23
12,865,17,2025-07-25 09:27:00,returned,debit_card,1778.68
13,105,50,2025-11-11 03:32:00,completed,boleto,2276.5
14,745,32,2025-01-25 17:54:00,completed,boleto,3038.86
15,493,46,2025-09-19 15:02:00,completed,debit_card,2155.03
16,319,7,2025-08-05 07:18:00,completed,boleto,2315.41
17,1000,39,2025-11-26 01:46:00,completed,debit_card,2156.22
18,219,14,2025-08-07 16:45:00,completed,pix,1868.51
19,277,15,2025-05-14 16:32:00,completed,debit_card,618.46
20,773,44,2025-05-13 22:20:00,pending,debit_card,1188.16
21,893,12,2025-12-14 19:24:00,returned,debit_card,2432.02
22,931,8,2025-05-22 02:36:00,cancelled,debit_card,1500.66
23,341,16,2025-05-19 19:59:00,completed,credit_card,1433.33
24,452,41,2025-10-16 15:28:00,completed,boleto,2662.26
25,369,34,2025-06-28 16:44:00,completed,pix,39.38
26,944,46,2025-10-27 00:39:00,completed,debit_card,2382.9
27,848,24,2025-09-19 02:00:00,completed,credit_card,1722.51
28,991,29,2025-11-25 01:26:00,completed,credit_card,1331.13
29,474,16,2025-05-08 18:05:00,completed,pix,1205.07
30,190,5,2025-04-26 21:32:00,completed,boleto,621.61
31,884,5,2025-04-04 15:12:00,pending,pix,1183.2
32,419,30,2025-04-17 10:22:00,completed,debit_card,1382.14
33,710,50,2025-02-16 19:31:00,completed,boleto,1542.32
34,865,50,2025-07-18 06:41:00,cancelled,boleto,2359.61
35,789,5,2025-11-02 12:33:00,completed,pix,1598.43
36,848,43,2025-01-27 12:51:00,completed,pix,2791.07
37,495,13,2025-05-29 14:21:00,completed,boleto,2246.29
38,39,35,2025-07-04 15:28:00,completed,pix,679.8
39,162,49,2025-07-19 09:39:00,completed,boleto,984.56
40,121,25,2025-01-08 09:31:00,pending,pix,295.79
41,892,50,2025-03-10 21:59:00,completed,boleto,3311.11
42,399,14,2025-10-31 21:45:00,completed,debit_card,3105.2
43,262,44,2025-04-18 21:38:00,completed,credit_card,315.09
44,962,46,2025-04-15 06:38:00,pending,pix,2017.78
45,728,26,2025-10-11 01:12:00,completed,boleto,3362.2
46,824,18,2025-08-13 15:34:00,completed,credit_card,2620.06
47,561,20,2025-08-20 15:29:00,completed,credit_card,1731.51
48,604,34,2025-12-11 20:14:00,completed,credit_card,859.04
49,129,7,2025-10-26 12:12:00,completed,pix,991.05
50,833,47,2025-11-05 22:25:00,completed,pix,2582.11
51,540,10,2025-10-25 02:26:00,pending,debit_card,2736.4
52,356,15,2025-06-27 17:48:00,returned,pix,1859.85
53,660,17,2025-12-29 03:21:00,completed,pix,440.9
54,432,11,2025-11-24 06:09:00,completed,pix,3269.86
55,840,34,2025-02-14 14:00:00,completed,credit_card,2959.77
56,65,27,2025-03-15 12:08:00,pending,debit_card,509.07
57,218,21,2025-03-15 15:02:00,completed,credit_card,217.41
58,563,31,2025-10-14 15:15:00,pending,debit_card,1884.82
59,427,50,2025-02-13 02:28:00,completed,pix,1008.82
60,817,4,2025-11-23 18:09:00,cancelled,boleto,1005.71
61,921,41,2025-04-23 02:45:00,cancelled,pix,323.53
62,74,49,2025-04-06 05:03:00,pending,credit_card,3337.78
63,460,17,2025-06-05 23:25:00,completed,credit_card,2908.98
64,425,49,2025-05-22 00:07:00,completed,credit_card,416.14
65,711,48,2025-06-23 10:48:00,completed,debit_card,3070.56
66,192,20,2025-03-07 14:35:00,completed,credit_card,2396.69
67,189,25,2025-12-21 10:10:00,completed,boleto,1152.54
68,12,40,2025-06-03 10:52:00,completed,boleto,3051.95
69,239,23,2025-04-24 00:57:00,completed,pix,2101.12
70,872,15,2025-05-26 02:24:00,completed,debit_card,2973.37
71,593,33,2025-06-14 04:40:00,completed,debit_card,1653.05
72,453,19,2025-08-06 04:07:00,completed,pix,1762.27
73,383,15,2025-01-06 04:21:00,completed,credit_card,1032.71
74,782,41,2025-11-25 03:01:00,completed,credit_card,1369.17
75,802,5,2025-04-14 04:26:00,cancelled,pix,1995.78
76,48,16,2025-09-24 05:55:00,completed,pix,3315.77
77,317,45,2025-12-10 04:18:00,completed,pix,2108.41
78,209,48,2025-06-10 18:16:00,completed,pix,532.88
79,547,32,2025-05-01 18:41:00,completed,debit_card,44.35
80,119,22,2025-08-08 18:16:00,completed,debit_card,2981.44
81,577,43,2025-08-18 17:34:00,returned,credit_card,1287.85
82,315,32,2025-02-27 03:19:00,completed,debit_card,1116.08
83,754,13,2025-01-11 17:14:00,completed,debit_card,2806.54
84,36,38,2025-11-03 05:51:00,completed,debit_card,3309.87
85,463,26,2025-08-23 15:53:00,completed,pix,2623.2
86,764,17,2025-08-17 08:21:00,cancelled,debit_card,624.99
87,915,5,2025-02-28 00:35:00,completed,credit_card,1382.0
88,755,49,2025-05-03 18:46:00,returned,debit_card,2662.71
89,554,33,2025-12-01 12:39:00,completed,pix,3176.1
90,581,27,2025-10-29 06:19:00,cancelled,debit_card,3495.13
91,403,5,2025-11-23 08:04:00,completed,boleto,1800.23
92,107,37,2025-02-17 18:43:00,completed,credit_card,2882.39
93,39,7,2025-10-28 09:08:00,pending,debit_card,182.28
94,581,48,2025-11-28 18:22:00,completed,credit_card,1014.67
95,180,18,2025-06-20 10:04:00,completed,pix,1312.87
96,12,31,2025-07-30 02:03:00,completed,credit_card,3414.82
97,339,6,2025-01-13 00:17:00,completed,boleto,31.81
98,943,2,2025-12-20 17:06:00,completed,boleto,1091.91
99,716,13,2025-03-25 11:54:00,completed,credit_card,3257.83
